inspection_point_type,query
DG_Air-Conditioner,1줄만. 형식고정. 이유설명금지. 숫자만. 1) 숫자:
DG_BMS,1줄만. 형식고정. 이유설명금지. 우측상단 현재 정상 운영중이면 정상 아니면 비정상 : (정상/비정상)
DG_TR-temp,"2줄만. 형식고정. 이유설명금지. 적색숫자. 1) PEAK: , 2) Temp. Controller: "
DG_Digital-Integrated-Meter,"4줄만. 형식고정. 이유설명금지. 1) Va: , 2) Ia: ,3) P: ,4) WH:"
DG_GIMAC-DC,3줄만. 형식고정. 이유설명금지. 숫자만. 1) 윗줄 숫자: 2) 중간줄 숫자: 3) 아래줄 숫자:
DG_PB-max,"4줄만. 형식고정. 이유설명금지. 큰 숫자 4열만 . 1) 1열: , 2) 2열: , 3) 3열:, 4) 4열:"
DG_Thermo-hygro,"2줄만. 형식고정. 이유설명금지. 숫자. 1) 온도: , 2) 습도: "
DG_UPS-100KVA,"4줄만. 형식고정. 이유설명금지. 바이패스는 좌측 상단쪽에 R S T 전압(V)이 있어, 입력은 하단부 좌측에 R S T 전압(V) 및 전류(A)가 있어, 축전지는 하단부 중앙 쯤에 전압(V) 그 밑에 전류(A)가 있어, 출력은 하단부 우측에 R S T 전압(V) 및 전류(A)가 있어, 숫자를 알려줘. 1) 입력 전압(V) (R), (S), (T) , 전류(A): (R), (S), (T) 2) 출력 전압(V) (R), (S), (T) , 전류(A): (R), (S), (T) 3) 바이패스 전압(V) (R), (S), (T) 4) 축전지: (V), (A) "
DG_Gen-Status,1줄만. 형식고정. 이유설명금지. 숫자만. 1) Coolant Temp
DG_Digital-Meter,3줄만. 형식고정. 이유설명금지. 숫자만. 1) 윗줄 숫자: 2) 중간줄 숫자:3) 아래줄 숫자:
DG_Electric-Water-Heater,1줄만. 형식고정. 이유설명금지. 적색 숫자만. 1) 숫자:
DG_Boost-pump,"2줄만. 형식고정. 이유설명금지. 상단 원 내부 숫자, 1) 설정압력: , 2) 현재압력:"
DG_Pump,1줄만. 형식고정. 이유설명금지. 숫자 . 1) 숫자: 
DG_UPS-600KVA,"4줄만. 형식고정. 이유설명금지. 입력은 하단부 좌측에 R S T 전압(V) 및 전류(A)가 있어, 츨력은 그 아래에 R S T 전압(V) 및 전류(A)가 있어, 바이패스는 그 아래에 R S T 전압(V)이 있어, SOC는 하단부 우측에 SOC % 및 전압(V), 전류(A)가 있어, 숫자를 알려줘. 1) 입력 전압(V) (R), (S), (T) , 전류(A): (R), (S), (T) 2) 출력 전압(V) (R), (S), (T) , 전류(A): (R), (S), (T) 3) 바이패스 전압(V) (R), (S), (T) 4) SOC: % (V), (A) "
DG_UPS-600KVA,"5줄만. 형식고정. 이유설명금지. 입력은 하단부 좌측에 R S T 전압(V) 및 전류(A)가 있어, 츨력은 그 아래에 R S T 전압(V) 및 전류(A)가 있어, 바이패스는 그 아래에 R S T 전압(V)이 있어, SOC는 하단부 우측에 SOC % 및 전압(V), 전류(A)가 있어, 숫자를 알려줘. 1) 입력 전압(V) (R), (S), (T) , 전류(A): (R), (S), (T) 2) 출력 전압(V) (R), (S), (T) , 전류(A): (R), (S), (T) 3) 바이패스 전압(V) (R), (S), (T) 4) SOC: % (V), (A) "
DG_UPS-600KVA,"6줄만. 형식고정. 이유설명금지. 입력은 하단부 좌측에 R S T 전압(V) 및 전류(A)가 있어, 츨력은 그 아래에 R S T 전압(V) 및 전류(A)가 있어, 바이패스는 그 아래에 R S T 전압(V)이 있어, SOC는 하단부 우측에 SOC % 및 전압(V), 전류(A)가 있어, 숫자를 알려줘. 1) 입력 전압(V) (R), (S), (T) , 전류(A): (R), (S), (T) 2) 출력 전압(V) (R), (S), (T) , 전류(A): (R), (S), (T) 3) 바이패스 전압(V) (R), (S), (T) 4) SOC: % (V), (A) "
DG_UPS-600KVA,"7줄만. 형식고정. 이유설명금지. 입력은 하단부 좌측에 R S T 전압(V) 및 전류(A)가 있어, 츨력은 그 아래에 R S T 전압(V) 및 전류(A)가 있어, 바이패스는 그 아래에 R S T 전압(V)이 있어, SOC는 하단부 우측에 SOC % 및 전압(V), 전류(A)가 있어, 숫자를 알려줘. 1) 입력 전압(V) (R), (S), (T) , 전류(A): (R), (S), (T) 2) 출력 전압(V) (R), (S), (T) , 전류(A): (R), (S), (T) 3) 바이패스 전압(V) (R), (S), (T) 4) SOC: % (V), (A) "

